user_id,customer_age,gender,married,has_children,home_city,home_country,home_airport,num_trips,num_sessions,user_start_date,user_end_date,active_presence_days,total_page_clicks,mean_clicks_per_session,average_session_time,cancelled_session_count,completed_flight_orders,completed_hotel_orders,aggregate_flight_spend,aggregate_hotel_spend,overall_transaction_value,avg_flight_price,avg_hotel_price,trip_revenue_avg,promo_booking_ratio,mean_savings_value,savings_per_kilometer,mean_seat_count,mean_room_quantity,avg_nights_booked,avg_flight_distance,avg_trip_timespan,booking_lead_interval,session_frequency,user_activity_lifespan,last_seen_date,conversion_ratio,total_flight_distance,total_checked_bags,checked_bag_usage_ratio,flight_hotel_mix_ratio,age_group,avg_total_sales,customer_value_per_trip,customer_value_per_session,avg_cust_lifespan,hotel_discount_proportion,flight_discount_proportion,avg_flight_discount_charges,avg_hotel_discount_charges,total_discount_proportion,avg_dollar_saved,avg_dollar_saved_per_km,booking_count,booking_rate,active_days,avg_page_clicks,avg_bags,cancellation_rate,num_flight_booked,num_hotel_booked,avg_num_seats,total_checked_bags,travel_lead_time,avg_cancel_lead_time,total_dist_flown,avg_dist_flown_incl,avg_hotel_stay,avg_hotel_rooms,avg_trip_duration,avg_session_duration,num_flights_discount_applied,num_hotel_discount_applied,num_flights_discount_offered,num_hotel_discount_offered,total_hotel_discount_charges,total_flight_discount_charges,discounted_booking_rate,avg_dist_flown,flight_to_hotel_booking_ratio,checked_bags_ratio,lifetime_customer_value,scaled_ads
94883,53.0,F,1,0,kansas city,usa,MCI,2,8,2023-01-10,2023-05-28,8,73,9.125,67.75,0,2,2,864.09,230.0,1094.09,108.01125,28.75,432.045,0.125,0.0,0.0,1.5,1.5,1.0,1451.335403701945,1.5,7.5,8,138,2023-05-28,0.25,2902.670807403888,1,0.5,1.0,Middle Aged,1094.09,547.045,136.76125,0.7666666666666667,0.125,0.0,,0.1,0.125,0.0,0.0,2,0.25,138.0,9.125,0.5,0.0,2,2,1.5,1,7.5,,2902.67080740389,362.833850925486,1.0,1.5,1.0,0 days 00:01:07.750000,0,0,0,1,0.0,0.0,0.0,1451.335403701945,1.0,0,419.40116666666665,0.0
101486,52.0,F,1,1,tacoma,usa,TCM,2,8,2023-01-21,2023-07-18,8,131,16.375,122.25,0,1,2,189.91,2452.0,2641.91,23.73875,306.5,94.955,0.25,0.0,0.0,0.5,1.5,4.5,497.840799891356,4.0,9.0,8,178,2023-07-18,0.25,995.681599782712,0,0.0,0.5,Middle Aged,2641.91,1320.955,330.23875,0.9888888888888889,0.0,0.25,0.075,,0.25,0.0,0.0,2,0.25,178.0,16.375,0.0,0.0,1,2,0.5,0,9.0,,995.681599782712,124.460199972839,4.5,1.5,4.0,0 days 00:02:02.250000,0,0,2,0,0.0,0.0,0.0,995.681599782712,0.5,0,1306.277722222222,0.0
101961,44.0,F,1,0,boston,usa,BOS,5,8,2023-01-19,2023-06-22,8,126,15.75,117.75,0,5,5,1242.66,2798.0,4040.66,155.3325,349.75,248.532,0.375,4.967,0.0007269299462659393,1.0,1.0,4.4,1366.569096654846,4.8,6.6,8,154,2023-06-22,0.625,6832.845483274227,2,0.4,1.0,Middle Aged,4040.66,808.132,505.0825,0.8555555555555555,0.125,0.25,0.15,0.1,0.375,0.620875,0.0007269299462659393,5,0.625,154.0,15.75,0.4,0.0,5,5,1.0,2,6.6,,6832.84548327423,854.105685409279,4.4,1.0,4.0,0 days 00:01:57.750000,1,0,1,1,0.0,4.967,0.2,1366.569096654846,1.0,0,691.4018222222222,0.0056621633775613784
106907,46.0,F,1,1,miami,usa,TNT,1,8,2023-01-10,2023-07-27,8,240,30.0,758.915066125,1,0,0,27804.12,8514.0,36318.12,3475.515,1064.25,27804.12,0.125,0.0,0.0,12.0,6.0,22.0,25594.9610814278,13.0,198.5,8,198,2023-07-27,0.25,25594.961081427766,10,5.0,1.0,Middle Aged,36318.12,36318.12,4539.765,1.1,0.125,0.125,,,0.25,0.0,0.0,1,0.125,197.0,30.0,10.0,1.0,1,1,12.0,10,198.5,173.0,25594.9610814278,3199.37013517847,22.0,6.0,13.0,0 days 00:12:38.915066,1,1,0,0,0.0,0.0,2.0,25594.9610814278,1.0,10,39949.932,0.0
118043,53.0,F,0,1,los angeles,usa,LAX,5,8,2023-02-05,2023-07-15,8,164,20.5,153.125,0,3,4,2339.29,6638.0,8977.29,292.41125,829.75,467.858,0.5,194.55,0.0,1.2,1.0,4.8,1503.099099844304,4.666666666666667,9.666666666666666,8,160,2023-07-15,0.625,7515.495499221523,3,1.0,0.75,Middle Aged,8977.29,1795.458,1122.16125,0.8888888888888888,0.375,0.25,0.2,0.11666666666666667,0.625,0.0,0.0,5,0.625,159.0,20.5,0.6,0.0,3,4,1.2,3,9.666666666666666,,7515.49549922152,939.43693740269,4.8,1.0,4.0,0 days 00:02:33.125000,1,3,1,0,194.55,0.0,0.8,2505.1651664071733,0.75,1,1595.9626666666666,0.0
125845,41.0,F,1,0,el paso,usa,BIF,3,9,2023-01-08,2023-07-20,9,159,17.666666666666668,131.77777777777777,0,3,3,1753.32,864.0,2617.32,194.81333333333333,96.0,584.44,0.2222222222222222,106.557,0.012412637624365216,1.3333333333333333,1.3333333333333333,2.3333333333333335,2861.5191287207535,3.3333333333333335,9.333333333333334,9,193,2023-07-20,0.3333333333333333,8584.557386162262,2,0.6666666666666666,1.0,Middle Aged,2617.32,872.44,290.81333333333333,1.0722222222222222,0.1111111111111111,0.1111111111111111,0.15,0.05,0.2222222222222222,11.839666666666666,0.012412637624365216,3,0.3333333333333333,192.0,17.666666666666668,0.6666666666666666,0.0,3,3,1.3333333333333333,2,9.333333333333334,,8584.55738616226,953.839709573585,2.3333333333333335,1.3333333333333333,3.0,0 days 00:02:11.777778,1,0,0,1,0.0,213.114,0.3333333333333333,2861.5191287207535,1.0,0,935.4495555555555,0.09668384489680822
133058,20.0,F,0,0,austin,usa,AUS,1,8,2023-01-07,2023-07-16,8,73,9.125,68.125,0,1,0,423.51,0.0,423.51,52.93875,0.0,423.51,0.125,0.0,0.0,1.0,,,2887.17851565269,4.0,6.0,8,190,2023-07-16,0.125,2887.178515652686,0,0.0,,Student,423.51,423.51,52.93875,1.0555555555555556,0.125,0.0,,0.05,0.125,0.0,0.0,1,0.125,190.0,9.125,0.0,0.0,1,0,1.0,0,6.0,,2887.17851565269,360.897314456586,,,4.0,0 days 00:01:08.125000,0,0,0,1,0.0,0.0,0.0,2887.17851565269,0.0,0,447.03833333333336,0.0
152583,38.0,F,0,0,colorado springs,usa,COS,1,8,2023-02-01,2023-06-05,8,149,18.625,139.0,0,1,1,367.83,639.0,1006.83,45.97875,79.875,367.83,0.25,0.0,0.0,1.0,1.0,3.0,2265.71629563552,5.0,9.0,8,124,2023-06-05,0.125,2265.716295635522,2,2.0,1.0,Middle Aged,1006.83,1006.83,125.85375,0.6888888888888889,0.125,0.125,0.15,0.15,0.25,0.0,0.0,1,0.125,124.0,18.625,2.0,0.0,1,1,1.0,2,9.0,,2265.71629563552,283.21453695444,3.0,1.0,5.0,0 days 00:02:19,0,0,1,1,0.0,0.0,0.0,2265.71629563552,1.0,2,693.594,0.0
153982,46.0,F,0,1,toronto,canada,YKZ,3,8,2023-01-09,2023-07-20,8,150,18.75,138.5,0,3,3,656.87,1302.0,1958.87,82.10875,162.75,218.95666666666668,0.125,0.0,0.0,1.0,1.0,2.3333333333333335,1343.6251935624966,2.6666666666666665,9.333333333333334,8,192,2023-07-20,0.375,4030.8755806874897,1,0.3333333333333333,1.0,Middle Aged,1958.87,652.9566666666667,244.85875,1.0666666666666667,0.125,0.0,,0.15,0.125,0.0,0.0,3,0.375,192.0,18.75,0.3333333333333333,0.0,3,3,1.0,1,9.333333333333334,,4030.87558068749,503.859447585936,2.3333333333333335,1.0,2.0,0 days 00:02:18.500000,0,0,0,1,0.0,0.0,0.0,1343.6251935624966,1.0,0,696.4871111111112,0.0
160754,47.0,F,1,1,new york,usa,LGA,1,8,2023-02-13,2023-06-26,8,86,10.75,80.875,0,1,1,93.62,642.0,735.62,11.7025,80.25,93.62,0.0,0.0,0.0,1.0,1.0,3.0,527.63183389388,4.0,12.0,8,133,2023-06-26,0.125,527.63183389388,1,1.0,1.0,Middle Aged,735.62,735.62,91.9525,0.7388888888888889,0.0,0.0,,,0.0,0.0,0.0,1,0.125,132.0,10.75,1.0,0.0,1,1,1.0,1,12.0,,527.63183389388,65.953979236735,3.0,1.0,4.0,0 days 00:01:20.875000,0,0,0,0,0.0,0.0,0.0,527.63183389388,1.0,1,543.5414444444444,0.0
